"library_id","molecule_h5","hto.tag","chrom.batch.tag","seq.batch.tag","lane.tag","markers.tag"
"AqEh11_Hu_TL29_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC11/AqEh11_Hu_TL29_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","7","AqEh11_Hu_TL29_6D_Gex;L029;AqEh11",NA
"AqEh11_Hu_TL30_6D_Gex","/path/to/user/sequencing_data/10-28-2023/count/AqEh_HIPC11/AqEh11_Hu_TL30_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","6","AqEh11_Hu_TL30_6D_Gex;L030;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL30_6D_CITE/AqEh11_Hu_TL30_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh11_Hu_TL31_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC11/AqEh11_Hu_TL31_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","7","AqEh11_Hu_TL31_6D_Gex;L031;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL31_6D_CITE/AqEh11_Hu_TL31_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh11_Hu_TL32_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC11/AqEh11_Hu_TL32_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","7","AqEh11_Hu_TL32_6D_Gex;L032;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL32_6D_CITE/AqEh11_Hu_TL32_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh11_Hu_TL33_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC11/AqEh11_Hu_TL33_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","8","AqEh11_Hu_TL33_6D_Gex;L033;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL33_6D_CITE/AqEh11_Hu_TL33_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh11_Hu_TL34_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC11/AqEh11_Hu_TL34_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC11","8","AqEh11_Hu_TL34_6D_Gex;L034;AqEh11","/path/to/user/HIPC/deconvolution/HTO_based/10-28-2023/AqEh_HIPC11/AqEh11_Hu_TL34_6D_CITE/AqEh11_Hu_TL34_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL35_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC12/AqEh12_Hu_TL35_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","8","AqEh12_Hu_TL35_6D_Gex;L035;AqEh12",NA
"AqEh12_Hu_TL36_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC12/AqEh12_Hu_TL36_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","8","AqEh12_Hu_TL36_6D_Gex;L036;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL36_6D_CITE/AqEh12_Hu_TL36_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL37_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC12/AqEh12_Hu_TL37_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","7","AqEh12_Hu_TL37_6D_Gex;L037;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL37_6D_CITE/AqEh12_Hu_TL37_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL38_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC12/AqEh12_Hu_TL38_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","8","AqEh12_Hu_TL38_6D_Gex;L038;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL38_6D_CITE/AqEh12_Hu_TL38_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL39_6D_Gex","/path/to/user/sequencing_data/11-17-2023/count/AqEh_HIPC12/AqEh12_Hu_TL39_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","8","AqEh12_Hu_TL39_6D_Gex;L039;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL39_6D_CITE/AqEh12_Hu_TL39_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh12_Hu_TL40_6D_Gex","/path/to/user/sequencing_data/11-10-2023/count/AqEh_HIPC12/AqEh12_Hu_TL40_6D_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC12","7","AqEh12_Hu_TL40_6D_Gex;L040;AqEh12","/path/to/user/HIPC/deconvolution/HTO_based/11-10-2023/AqEh_HIPC12/AqEh12_Hu_TL40_6D_CITE/AqEh12_Hu_TL40_6D_CITE_11-18-2023_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
