"library_id","molecule_h5","hto.tag","chrom.batch.tag","seq.batch.tag","lane.tag","markers.tag"
"AqEhHIPCLN01_14_Gex","/path/to/user/sequencing_data/06-07-2024/count/AqEh_HIPC_LN01/AqEhHIPCLN01_14_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC_LN01",9,"AqEhHIPCLN01_14_Gex;LN;L014;AqEh_HIPC_LN01;Ex-vivo","/path/to/user/HIPC/deconvolution/HTO_based/06-07-2024/AqEh_HIPC_LN01/AqEhHIPCLN01_14_CITE/AqEhHIPCLN01_14_CITE_06-14-2024_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEhHIPCLN01_24_Gex","/path/to/user/sequencing_data/12-14-2024/count/AqEh_HIPC_LN01/AqEhHIPCLN01_24_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC_LN01",10,"AqEhHIPCLN01_24_Gex;LN;L024;AqEh_HIPC_LN01;Ex-vivo","/path/to/user/HIPC/deconvolution/HTO_based/06-07-2024/AqEh_HIPC_LN01/AqEhHIPCLN01_24_CITE/AqEhHIPCLN01_24_CITE_06-14-2024_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEhHIPCLN01_4_Gex","/path/to/user/sequencing_data/06-07-2024/count/AqEh_HIPC_LN01/AqEhHIPCLN01_4_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC_LN01",9,"AqEhHIPCLN01_4_Gex;LN;L004;AqEh_HIPC_LN01;Ex-vivo","/path/to/user/HIPC/deconvolution/HTO_based/06-07-2024/AqEh_HIPC_LN01/AqEhHIPCLN01_4_CITE/AqEhHIPCLN01_4_CITE_06-14-2024_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEhHIPCLN01_5_Gex","/path/to/user/sequencing_data/06-07-2024/count/AqEh_HIPC_LN01/AqEhHIPCLN01_5_Gex/outs/molecule_info.h5",NA,"AqEh_HIPC_LN01",9,"AqEhHIPCLN01_5_Gex;LN;L005;AqEh_HIPC_LN01;Ex-vivo","/path/to/user/HIPC/deconvolution/HTO_based/06-07-2024/AqEh_HIPC_LN01/AqEhHIPCLN01_5_CITE/AqEhHIPCLN01_5_CITE_06-14-2024_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh_HIPC_LN02_Hu_1_6D_Gex","/path/to/user/sequencing_data/12-14-2024/count/AqEh_HIPC_LN02/AqEh_HIPC_LN02_Hu_1_6D_Gex/outs/molecule_info.h5","/path/to/user/HIPC/deconvolution/HTO_based/07-08-2024/AqEh_HIPC_LN02/AqEh_HIPC_LN02_Hu_1_6D_CITE/AqEh_HIPC_LN02_Hu_1_6D_CITE_07-10-2024_DonorDeconv/general_reports/ClassificationPerCell.csv","AqEh_HIPC_LN02",10,"AqEh_HIPC_LN02_Hu_1_6D_Gex;LN;L003|L009;AqEh_HIPC_LN02;Ex-vivo","/path/to/user/HIPC/deconvolution/HTO_based/07-08-2024/AqEh_HIPC_LN02/AqEh_HIPC_LN02_Hu_1_6D_CITE/AqEh_HIPC_LN02_Hu_1_6D_CITE_07-10-2024_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
"AqEh_HIPC_LN02_Hu_2_6D_Gex","/path/to/user/sequencing_data/12-14-2024/count/AqEh_HIPC_LN02/AqEh_HIPC_LN02_Hu_2_6D_Gex/outs/molecule_info.h5","/path/to/user/HIPC/deconvolution/HTO_based/07-08-2024/AqEh_HIPC_LN02/AqEh_HIPC_LN02_Hu_2_6D_CITE/AqEh_HIPC_LN02_Hu_2_6D_CITE_07-10-2024_DonorDeconv/general_reports/ClassificationPerCell.csv","AqEh_HIPC_LN02",10,"AqEh_HIPC_LN02_Hu_2_6D_Gex;LN;L035|L037;AqEh_HIPC_LN02;Ex-vivo","/path/to/user/HIPC/deconvolution/HTO_based/07-08-2024/AqEh_HIPC_LN02/AqEh_HIPC_LN02_Hu_2_6D_CITE/AqEh_HIPC_LN02_Hu_2_6D_CITE_07-10-2024_CellTypeDeconv/general_reports/ClassificationPerCell.csv"
